wda_id,ad_id,intersect_area_m2,district_pop_in_overlap,district_total_pop,wda_total_pop,district_overlap_pct,wda_pop_in_overlap,wda_overlap_pct,is_display_eligible
WDA_011,AD46,186469487.05825663,497723,502291,3898747,99.09056702190563,497723,12.76622976561444,True
WDA_011,AD51,103749369.88036259,334697,496232,3898747,67.4476857598865,334697,8.58473247943506,True
WDA_011,AD52,84745018.32996303,317691,516098,3898747,61.55633232448101,317691,8.148541056908796,True
WDA_011,AD54,53878034.35170141,429153,504393,3898747,85.08306023279467,429153,11.007459576115096,True
WDA_011,AD55,77150172.60618697,414831,474285,3898747,87.46449919352288,414831,10.64011078431096,True
WDA_011,AD57,61928741.9994823,441479,503462,3898747,87.68864383012026,441479,11.323612432404564,True
WDA_011,AD61,99253824.98135819,158294,489139,3898747,32.36176219847528,158294,4.0601249580955106,True
WDA_011,AD65,80579868.82665406,214224,501352,3898747,42.729260080741675,214224,5.494688421690353,True
WDA_011,AD66,14500006.210625244,36867,472694,3898747,7.799337414902665,36867,0.9456115003102278,True
WDA_011,AD69,4640.773460961926,0,477955,3898747,0.0,0,0.0,False
WDA_012,AD32,27234.667431115784,0,518633,3875575,0.0,0,0.0,False
WDA_012,AD34,2604294432.5120883,147959,526113,3875575,28.12304580955042,147959,3.8177302722821778,True
WDA_012,AD39,1782130625.9390645,273647,481961,3875575,56.777830571353284,273647,7.060810331370184,True
WDA_012,AD40,886190468.1591805,288828,515962,3875575,55.97854105534904,288828,7.45251994865278,True
WDA_012,AD41,1387031084.1112742,154376,483563,3875575,31.924692335848693,154376,3.9833057030247123,True
WDA_012,AD42,643305395.7491597,83529,516939,3875575,16.158386192568173,83529,2.1552672829193087,True
WDA_012,AD43,6280633.752554054,24596,506248,3875575,4.858488329830439,24596,0.6346413112892926,True
WDA_012,AD44,8907766.527698867,19997,513342,3875575,3.895453713119129,19997,0.515975048863717,True
WDA_012,AD46,5587342.427739225,2622,502291,3875575,0.522008158617216,2622,0.06765447707759495,False
WDA_012,AD48,213451760.14565375,458880,480889,3875575,95.42326815543711,458880,11.840307567264212,True
WDA_012,AD49,113517966.0008099,389879,473503,3875575,82.33928824104599,389879,10.059900788915193,True
WDA_012,AD51,65951053.93641998,161535,496232,3875575,32.552314240113496,161535,4.168026679912013,True
WDA_012,AD52,19314582.412922256,118786,516098,3875575,23.016171347302254,118786,3.064990356269715,True
WDA_012,AD53,62592081.24823682,154617,477425,3875575,32.38561030528355,154617,3.9895241351283355,True
WDA_012,AD54,52079592.41477011,75240,504393,3875575,14.916939767205333,75240,1.9413893422266373,True
WDA_012,AD55,25922706.403104167,59454,474285,3875575,12.535500806477117,59454,1.5340691381278908,True
WDA_012,AD56,311868552.8859153,491476,491476,3875575,100.0,491476,12.681369861246395,True
WDA_012,AD57,9089177.073881257,61983,503462,3875575,12.311356169879753,61983,1.599323971281681,True
WDA_012,AD59,1.0358055160815824,0,471260,3875575,0.0,0,0.0,False
WDA_012,AD61,22743475.11171732,87782,489139,3875575,17.94622796383032,87782,2.265005837843417,True
WDA_012,AD62,57310087.33065896,309082,470768,3875575,65.65484484926758,309082,7.975126271585507,True
WDA_012,AD64,76458326.85879685,230383,510608,3875575,45.11934791464294,230383,5.944485656967031,True
WDA_012,AD65,105946204.77834406,185611,501352,3875575,37.022092262522136,185611,4.789250627326267,True
WDA_012,AD66,176736751.1489792,78141,472694,3875575,16.530990450481706,78141,2.0162427510756467,True
WDA_012,AD67,3980.851131733467,0,472184,3875575,0.0,0,0.0,False
WDA_012,AD69,1447869480.0119872,17172,477955,3875575,3.5928068542017555,17172,0.4430826393502899,True
WDA_013,AD27,1257068409.2066932,109064,521398,156255,20.91760996398145,109064,69.7987264407539,True
WDA_013,AD08,4319249101.7687435,47191,503696,156255,9.368944760331628,47191,30.201273559246104,True
WDA_014,AD22,939265305.4887731,20630,469973,281202,4.389613871435167,20630,7.336363183761139,True
WDA_014,AD27,4185419762.2127705,260572,521398,281202,49.97564240752745,260572,92.66363681623886,True
WDA_015,AD29,3288372648.2566094,291178,499659,439035,58.275343784461,291178,66.32227498946554,True
WDA_015,AD30,6479044555.946214,147857,477069,439035,30.992791399147713,147857,33.677725010534466,True
WDA_016,AD01,1243357099.2554276,27566,512334,158517,5.380474456116517,27566,17.389932940946398,True
WDA_016,AD08,11861037325.730976,103753,503696,158517,20.598337092214354,103753,65.45228587470113,True
WDA_016,AD09,830137538.1409411,27198,477444,158517,5.696584311458516,27198,17.157781184352466,True
WDA_017,AD01,61300122131.87504,392928,512334,714244,76.69371933152982,392928,55.01313276695359,True
WDA_017,AD02,11492534891.078373,43855,506650,714244,8.655876838053883,43855,6.140058579421038,True
WDA_017,AD03,12015747085.380003,277461,495048,714244,56.04729238376884,277461,38.84680865362537,True
WDA_018,AD03,6680613132.683932,210125,495048,231964,42.445379033952264,210125,90.58517701022572,True
WDA_018,AD04,2994941806.210608,21839,474729,231964,4.600308807761902,21839,9.414822989774276,True
WDA_019,AD11,805296.4900738378,0,520428,560104,0.0,0,0.0,False
WDA_019,AD12,2146881407.6288493,262321,486148,560104,53.95908241934555,262321,46.8343379086741,True
WDA_019,AD02,10044684600.126104,91601,506650,560104,18.079739465113985,91601,16.354284204362045,True
WDA_019,AD04,5488769476.267727,206182,474729,560104,43.43151566472661,206182,36.81137788696385,True
WDA_020,AD17,52147.502247452794,199,517813,1462046,0.03843086210659061,199,0.013611062853015568,False
WDA_020,AD19,76538252.63162386,147207,503359,1462046,29.24493254317495,147207,10.068561454290768,True
WDA_020,AD21,499715673.0797402,493022,493022,1462046,100.0,493022,33.72137401969569,True
WDA_020,AD23,1584325252.067485,334378,473417,1462046,70.63075470462616,334378,22.87055263651075,True
WDA_020,AD24,64916055.79940863,84309,477850,1462046,17.64340274144606,84309,5.766508030527083,True
WDA_020,AD25,1625058121.6452007,20265,496423,1462046,4.08220408804588,20265,1.3860713000822136,True
WDA_020,AD26,138455295.13026854,350169,471948,1462046,74.19652165069033,350169,23.950614412952806,True
WDA_020,AD28,465189594.6280949,20943,472289,1462046,4.434361164456509,20943,1.432444670003543,True
WDA_020,AD29,190264351.8313876,11554,499659,1462046,2.312377041142059,11554,0.79026241308413,True
WDA_021,AD14,26595234.65070753,47898,474886,440646,10.086210164123601,47898,10.869950027913564,True
WDA_021,AD18,138292572.91185963,392748,483986,440646,81.14862826610687,392748,89.13004997208644,True
WDA_021,AD20,37217698.95389527,0,516280,440646,0.0,0,0.0,False
WDA_022,AD56,11834.08920946627,0,491476,2529660,0.0,0,0.0,False
WDA_022,AD59,336977511.1485497,317149,471260,2529660,67.29809447014387,317149,12.537218440422823,True
WDA_022,AD62,1108.3348822209596,0,470768,2529660,0.0,0,0.0,False
WDA_022,AD64,19596636.80791484,63097,510608,2529660,12.357229028922383,63097,2.494287769897931,True
